Bucket,Rep,Species,Treatment,Lake,Source,Cut,FishID,Date local larvae added,Date non local larvae added,Date fish added,time fish added,Time,Days,Fish_length,Surviving,Initial,dRate
10A,13,ENTR,Non-local,Fayetteville,BK,right,2,05/04/2023,05/04/2023,05/05/2023,3:50:00 am,48,2,80.2,0,5,1
5A,14,ENTR,Local ,Fayetteville,FAY,left,3,05/04/2023,05/04/2023,05/05/2023,3:50:00 am,48,2,89.5,2,5,0.198970004
5A,14,ENTR,Non-local,Fayetteville,BK,right,3,05/04/2023,05/04/2023,05/05/2023,3:50:00 am,48,2,89.5,1,5,0.349485002
12A,15,ENTR,Local ,Fayetteville,FAY,left,9,05/04/2023,05/04/2023,05/05/2023,3:50:00 am,48,2,77,1,5,0.349485002
12A,15,ENTR,Non-local,Fayetteville,BK,right,9,05/04/2023,05/04/2023,05/05/2023,3:50:00 am,48,2,77,2,5,0.198970004
1A,16,ENEX,Local ,Fayetteville,FAY,left,11,05/04/2023,05/04/2023,05/05/2023,3:50:00 am,48,2,87.8,1,5,0.349485002
1A,16,ENEX,Non-local,Fayetteville,BK,right,11,05/04/2023,05/04/2023,05/05/2023,3:50:00 am,48,2,87.8,1,5,0.349485002
12B,17,ENEX,Local ,Fayetteville,FAY,left,12A,05/01/2023,05/01/2023,05/01/2023,3:25:00 am,48,2,77.2,1,5,0.349485002
12B,17,ENEX,Non-local,Fayetteville,BK,right,12A,05/01/2023,05/01/2023,05/01/2023,3:25:00 am,48,2,77.2,3,5,0.110924375
1B,18,ENTR,Local ,Fayetteville,FAY,left,1A,05/01/2023,05/01/2023,05/01/2023,3:25:00 am,48,2,68.3,1,5,0.349485002
1B,18,ENTR,Non-local,Fayetteville,BK,right,1A,05/01/2023,05/01/2023,05/01/2023,3:25:00 am,48,2,68.3,1,5,0.349485002
5B,19,ENEX,Local ,Fayetteville,FAY,left,5A,05/01/2023,05/01/2023,05/01/2023,3:25:00 am,48,2,69.8,0,5,1
5B,19,ENEX,Non-local,Fayetteville,BK,right,5A,05/01/2023,05/01/2023,05/01/2023,3:25:00 am,48,2,69.8,1,5,0.349485002
4A,20,ENEX,Local ,Fayetteville,FAY,left,6,05/04/2023,05/04/2023,05/05/2023,3:50:00 am,48,2,83.8,4,5,0.048455007
4A,20,ENEX,Non-local,Fayetteville,BK,right,6,05/04/2023,05/04/2023,05/05/2023,3:50:00 am,48,2,83.8,5,5,0
10B,21,ENTR,Local ,Bob Kidd,BK,right,NA,05/08/2023,05/08/2023,05/09/2023,11:22:00 am,48,2,88.4,5,5,0
10B,21,ENTR,Non-local,Bob Kidd,LIN,left,NA,05/08/2023,05/08/2023,05/09/2023,11:22:00 am,48,2,88.4,3,5,0.110924375
4B,22,ENEX,Local ,Bob Kidd,BK,right,NA,05/08/2023,05/08/2023,05/09/2023,11:22:00 am,48,2,87.5,1,5,0.349485002
4B,22,ENEX,Non-local,Bob Kidd,LIN,left,NA,05/08/2023,05/08/2023,05/09/2023,11:22:00 am,48,2,87.5,3,5,0.110924375
3,23,ENTR,Local ,Bob Kidd,BK,right,NA,05/08/2023,05/08/2023,05/09/2023,11:22:00 am,48,2,77.1,2,5,0.198970004
3,23,ENTR,Non-local,Bob Kidd,LIN,left,NA,05/08/2023,05/08/2023,05/09/2023,11:22:00 am,48,2,77.1,1,5,0.349485002
11,24,ENEX,Local ,Bob Kidd,BK,right,NA,05/08/2023,05/08/2023,05/09/2023,11:22:00 am,48,2,97.5,3,5,0.110924375
11,24,ENEX,Non-local,Bob Kidd,LIN,left,NA,05/08/2023,05/08/2023,05/09/2023,11:22:00 am,48,2,97.5,2,5,0.198970004
9,25,ENTR,Local ,Bob Kidd,BK,right,NA,05/08/2023,05/08/2023,05/09/2023,11:22:00 am,48,2,75.9,1,5,0.349485002
9,25,ENTR,Non-local,Bob Kidd,LIN,left,NA,05/08/2023,05/08/2023,05/09/2023,11:22:00 am,48,2,75.9,0,5,1
6,26,ENEX,Local ,Bob Kidd,BK,right,NA,05/08/2023,05/08/2023,05/09/2023,11:22:00 am,48,2,99.8,4,5,0.048455007
6,26,ENEX,Non-local,Bob Kidd,LIN,left,NA,05/08/2023,05/08/2023,05/09/2023,11:22:00 am,48,2,99.8,4,5,0.048455007
12B,27,ENEX,Local ,Bob Kidd,BK,right,NA,05/08/2023,05/08/2023,05/09/2023,11:22:00 am,48,2,98,2,5,0.198970004
12B,27,ENEX,Non-local,Bob Kidd,LIN,left,NA,05/08/2023,05/08/2023,05/09/2023,11:22:00 am,48,2,98,3,5,0.110924375
1B,28,ENTR,Local ,Bob Kidd,BK,right,NA,05/08/2023,05/08/2023,05/09/2023,11:22:00 am,48,2,99.8,1,5,0.349485002
1B,28,ENTR,Non-local,Bob Kidd,LIN,left,NA,05/08/2023,05/08/2023,05/09/2023,11:22:00 am,48,2,99.8,0,5,1
5B,29,ENEX,Local ,Bob Kidd,BK,right,NA,05/08/2023,05/08/2023,05/09/2023,11:22:00 am,48,2,85.1,3,5,0.110924375
5B,29,ENEX,Non-local,Bob Kidd,LIN,left,NA,05/08/2023,05/08/2023,05/09/2023,11:22:00 am,48,2,85.1,4,5,0.048455007
2,30,ENTR,Local ,Bob Kidd,BK,right,NA,05/08/2023,05/08/2023,05/09/2023,11:22:00 am,48,2,82.2,0,5,1
2,30,ENTR,Non-local,Bob Kidd,LIN,left,NA,05/08/2023,05/08/2023,05/09/2023,11:22:00 am,48,2,82.2,1,5,0.349485002
4A,31,ENTR,Local ,Bob Kidd,BK,left,3,05/12/2023,05/12/2023,5/13/2023,11:00:00 am,48,2,77.1,1,5,0.349485002
4A,31,ENTR,Non-local,Bob Kidd,LIN,right,3,05/12/2023,05/12/2023,5/13/2023,11:00:00 am,48,2,77.1,0,5,1
1A,32,ENEX,Local ,Bob Kidd,BK,left,1B,05/12/2023,05/12/2023,5/13/2023,11:00:00 am,48,2,68.3,1,5,0.349485002
1A,32,ENEX,Non-local,Bob Kidd,LIN,right,1B,05/12/2023,05/12/2023,5/13/2023,11:00:00 am,48,2,68.3,1,5,0.349485002
5A,33,ENEX,Local ,Bob Kidd,BK,left,5B,05/12/2023,05/12/2023,5/13/2023,11:00:00 am,48,2,85.1,4,5,0.048455007
5A,33,ENEX,Non-local,Bob Kidd,LIN,right,5B,05/12/2023,05/12/2023,5/13/2023,11:00:00 am,48,2,85.1,2,5,0.198970004
7,34,ENEX,Local ,Bob Kidd,BK,left,6,05/12/2023,05/12/2023,5/13/2023,11:00:00 am,48,2,99.8,1,5,0.349485002
7,34,ENEX,Non-local,Bob Kidd,LIN,right,6,05/12/2023,05/12/2023,5/13/2023,11:00:00 am,48,2,99.8,2,5,0.198970004
13,35,ENTR,Local ,Bob Kidd,BK,left,2,5/13/2023,5/13/2023,5/14/2023,10:20:00 am,48,2,82.2,1,5,0.349485002
13,35,ENTR,Non-local,Bob Kidd,LIN,right,2,5/13/2023,5/13/2023,5/14/2023,10:20:00 am,48,2,82.2,0,5,1
10A,36,ENTR,Local ,Bob Kidd,BK,left,10B,5/13/2023,5/13/2023,5/14/2023,10:20:00 am,48,2,88.4,3,5,0.110924375
10A,36,ENTR,Non-local,Bob Kidd,LIN,right,10B,5/13/2023,5/13/2023,5/14/2023,10:20:00 am,48,2,88.4,4,5,0.048455007
8,37,ENTR,Local ,Bob Kidd,BK,left,11,5/13/2023,5/13/2023,5/14/2023,10:20:00 am,48,2,97.5,4,5,0.048455007
8,37,ENTR,Non-local,Bob Kidd,LIN,right,11,5/13/2023,5/13/2023,5/14/2023,10:20:00 am,48,2,97.5,2,5,0.198970004
14,38,ENTR,Local ,Bob Kidd,BK,left,12B,5/13/2023,5/13/2023,5/14/2023,10:20:00 am,48,2,98,1,5,0.349485002
14,38,ENTR,Non-local,Bob Kidd,LIN,right,12B,5/13/2023,5/13/2023,5/14/2023,10:20:00 am,48,2,98,2,5,0.198970004
6,39,ENEX,Local ,Bob Kidd,BK,left,9,5/14/2023,5/14/2023,5/15/2023,2:15:00 pm,48,2,75.9,1,5,0.349485002
6,39,ENEX,Non-local,Bob Kidd,LIN,right,9,5/14/2023,5/14/2023,5/15/2023,2:15:00 pm,48,2,75.9,0,5,1
3,40,ENEX,Local ,Bob Kidd,BK,left,4B,5/14/2023,5/14/2023,5/15/2023,2:15:00 pm,48,2,87.5,0,5,1
3,40,ENEX,Non-local,Bob Kidd,LIN,right,4B,5/14/2023,5/14/2023,5/15/2023,2:15:00 pm,48,2,87.5,0,5,1
10A,41,ENEX,Local ,Lincoln,LIN ,right ,NA,5/20/2023,5/20/2023,5/21/2023,11:00:00 am,48,2,99.7,4,5,0.048455007
10A,41,ENEX,Non-local,Lincoln,FAY,left,NA,5/20/2023,5/20/2023,5/21/2023,11:00:00 am,48,2,99.7,3,5,0.110924375
12A,42,ENEX,Local ,Lincoln,LIN ,right ,NA,5/20/2023,5/20/2023,5/21/2023,11:00:00 am,48,2,96.7,4,5,0.048455007
12A,42,ENEX,Non-local,Lincoln,FAY,left,NA,5/20/2023,5/20/2023,5/21/2023,11:00:00 am,48,2,96.7,5,5,0
7,43,ENTR,Local ,Lincoln,LIN ,right ,NA,5/20/2023,5/20/2023,5/21/2023,11:00:00 am,48,2,99,2,5,0.198970004
7,43,ENTR,Non-local,Lincoln,FAY,left,NA,5/20/2023,5/20/2023,5/21/2023,11:00:00 am,48,2,99,4,5,0.048455007
8,44,ENTR,Local ,Lincoln,LIN ,right ,NA,5/20/2023,5/20/2023,5/21/2023,11:00:00 am,48,2,69.1,4,5,0.048455007
8,44,ENTR,Non-local,Lincoln,FAY,left,NA,5/20/2023,5/20/2023,5/21/2023,11:00:00 am,48,2,69.1,3,5,0.110924375
13,45,ENTR,Local ,Lincoln,LIN ,right ,NA,5/20/2023,5/20/2023,5/21/2023,11:00:00 am,48,2,77.2,4,5,0.048455007
13,45,ENTR,Non-local,Lincoln,FAY,left,NA,5/20/2023,5/20/2023,5/21/2023,11:00:00 am,48,2,77.2,2,5,0.198970004
14,46,ENTR,Local ,Lincoln,LIN ,right ,NA,5/20/2023,5/20/2023,5/21/2023,11:00:00 am,48,2,72.1,5,5,0
14,46,ENTR,Non-local,Lincoln,FAY,left,NA,5/20/2023,5/20/2023,5/21/2023,11:00:00 am,48,2,72.1,3,5,0.110924375
4A,47,ENTR,Local ,Lincoln,LIN ,right,NA,5/23/2023,5/23/2023,5/24/2023,3:00:00 pm,48,2,72,2,5,0.198970004
4A,47,ENTR,Non-local,Lincoln,FAY,left,NA,5/23/2023,5/23/2023,5/24/2023,3:00:00 pm,48,2,72,4,5,0.048455007
6,48,ENEX,Local ,Lincoln,LIN ,right,NA,5/23/2023,5/23/2023,5/24/2023,3:00:00 pm,48,2,86.5,2,5,0.198970004
6,48,ENEX,Non-local,Lincoln,FAY,left,NA,5/23/2023,5/23/2023,5/24/2023,3:00:00 pm,48,2,86.5,5,5,0
9,49,ENEX,Local ,Lincoln,LIN ,right,8,5/23/2023,5/23/2023,5/24/2023,3:00:00 pm,48,2,99,1,5,0.349485002
9,49,ENEX,Non-local,Lincoln,FAY,left,8,5/23/2023,5/23/2023,5/24/2023,3:00:00 pm,48,2,99,2,5,0.198970004
3,50,ENEX,Local ,Lincoln,LIN ,right,12A,5/23/2023,5/23/2023,5/24/2023,3:00:00 pm,48,2,96.7,4,5,0.048455007
3,50,ENEX,Non-local,Lincoln,FAY,left,12A,5/23/2023,5/23/2023,5/24/2023,3:00:00 pm,48,2,96.7,4,5,0.048455007
5B,51,ENEX,Local ,Lincoln,LIN ,right,10A,5/23/2023,5/23/2023,5/24/2023,3:00:00 pm,48,2,99.7,3,5,0.110924375
5B,51,ENEX,Non-local,Lincoln,FAY,left,10A,5/23/2023,5/23/2023,5/24/2023,3:00:00 pm,48,2,99.7,4,5,0.048455007
1A,52,ENEX,Local ,Lincoln,LIN ,left,13,5/23/2023,5/23/2023,5/24/2023,3:00:00 pm,48,2,77.2,1,5,0.349485002
1A,52,ENEX,Non-local,Lincoln,FAY,right,13,5/23/2023,5/23/2023,5/24/2023,3:00:00 pm,48,2,77.2,0,5,1
4B,53,ENTR,Local ,Lincoln,LIN ,left,14,5/23/2023,5/23/2023,5/24/2023,3:00:00 pm,48,2,98,1,5,0.349485002
4B,53,ENTR,Non-local,Lincoln,FAY,right,14,5/23/2023,5/23/2023,5/24/2023,3:00:00 pm,48,2,98,0,5,1
5A,54,ENTR,Local ,Lincoln,LIN ,left,NA,5/23/2023,5/23/2023,5/24/2023,3:00:00 pm,48,2,103.8,5,5,0
5A,54,ENTR,Non-local,Lincoln,FAY,right,NA,5/23/2023,5/23/2023,5/24/2023,3:00:00 pm,48,2,103.8,4,5,0.048455007
1B,55,ENEX,Local ,Lincoln,LIN ,left,4A,5/25/2023,5/25/2023,5/26/2023,3:30:00 pm,48,2,72,2,5,0.198970004
1B,55,ENEX,Non-local,Lincoln,FAY,right,4A,5/25/2023,5/25/2023,5/26/2023,3:30:00 pm,48,2,72,2,5,0.198970004
7,56,ENEX,Local ,Lincoln,LIN ,left,6,5/25/2023,5/25/2023,5/26/2023,3:30:00 pm,48,2,86.5,1,5,0.349485002
7,56,ENEX,Non-local,Lincoln,FAY,right,6,5/25/2023,5/25/2023,5/26/2023,3:30:00 pm,48,2,86.5,1,5,0.349485002
10B,57,ENTR,Local ,Lincoln,LIN ,left,5A,5/25/2023,5/25/2023,5/26/2023,3:30:00 pm,48,2,103.8,4,5,0.048455007
10B,57,ENTR,Non-local,Lincoln,FAY,right,5A,5/25/2023,5/25/2023,5/26/2023,3:30:00 pm,48,2,103.8,3,5,0.110924375
11,58,ENTR,Local ,Lincoln,LIN ,left,11,5/25/2023,5/25/2023,5/26/2023,3:30:00 pm,48,2,102.6,3,5,0.110924375
11,58,ENTR,Non-local,Lincoln,FAY,right,11,5/25/2023,5/25/2023,5/26/2023,3:30:00 pm,48,2,102.6,4,5,0.048455007
12B,59,ENTR,Local ,Lincoln,LIN ,left,12B,5/25/2023,5/25/2023,5/26/2023,3:30:00 pm,48,2,101,2,5,0.198970004
12B,59,ENTR,Non-local,Lincoln,FAY,right,12B,5/25/2023,5/25/2023,5/26/2023,3:30:00 pm,48,2,101,2,5,0.198970004
